Period,Subject,Group,Profit,TotalProfit,Participate,Total_Deduct,Total_First_Income,Total_Cost,contribution,TimeOKStage1OK,percentContribution,sumContribution,Profit1Own,Profit1Group,Profit1,TimeOKProfitDisplayStage1OK,Cost,TimeOKStage2OK,ReceivedPoints,Reduction,Profit2,Temp_Profit,TimeOKProfitDisplayStage2OK,TotalProfitEnd,TimeCalculateCostsStage2OK
1,1,6,23.6,48.6,0,0,27.6,4,20,40,100,69,0,27.6,27.6,38,4,50,0,0,23.6,23.6,39,23.6,54
1,2,3,18.6,43.6,0,-15,33.6,0,4,35,20,44,16,17.6,33.6,32,0,102,-5,-15,18.6,33.6,38,18.6,103
1,3,4,10.8,35.8,0,0,15.8,5,15,40,75,27,5,10.8,15.8,31,5,82,0,0,10.8,10.8,38,10.8,89
1,4,5,11.2,36.2,0,0,19.2,8,20,44,100,48,0,19.2,19.2,31,8,87,0,0,11.2,11.2,34,11.2,92
1,5,1,24.8,49.8,0,-3,27.8,0,7,36,35,37,13,14.8,27.8,9,0,93,-1,-3,24.8,27.8,27,24.8,99
1,6,1,23.8,48.8,0,-6,29.8,0,5,48,25,37,15,14.8,29.8,34,0,107,-2,-6,23.8,29.8,37,23.8,114
1,7,3,23.6,48.6,0,-3,27.6,1,10,46,50,44,10,17.6,27.6,24,1,44,-1,-3,23.6,26.6,37,23.6,56
1,8,1,13.8,38.8,0,0,17.8,4,17,46,85,37,3,14.8,17.8,14,4,80,0,0,13.8,13.8,38,13.8,82
1,9,2,26,51,0,0,28,2,20,42,100,70,0,28,28,33,2,78,0,0,26,26,36,26,84
1,10,2,26,51,0,0,28,2,20,40,100,70,0,28,28,25,2,99,0,0,26,26,38,26,104
1,11,6,27.6,52.6,0,0,27.6,0,20,34,100,69,0,27.6,27.6,35,0,90,0,0,27.6,27.6,37,27.6,92
1,12,4,25.8,50.8,0,0,25.8,0,5,30,25,27,15,10.8,25.8,16,0,87,0,0,25.8,25.8,30,25.8,94
1,13,1,23.8,48.8,0,-3,26.8,0,8,45,40,37,12,14.8,26.8,32,0,106,-1,-3,23.8,26.8,37,23.8,109
1,14,6,27.6,52.6,0,0,27.6,0,20,47,100,69,0,27.6,27.6,34,0,105,0,0,27.6,27.6,37,27.6,109
1,15,5,22.2,47.2,0,-12,34.2,0,5,40,25,48,15,19.2,34.2,0,0,82,-4,-12,22.2,34.2,34,22.2,91
1,16,6,26.6,51.6,0,-12,38.6,0,9,38,45,69,11,27.6,38.6,34,0,112,-4,-12,26.6,38.6,39,26.6,114
1,17,4,13.8,38.8,0,-15,28.8,0,2,44,10,27,18,10.8,28.8,35,0,107,-5,-15,13.8,28.8,36,13.8,108
1,18,2,28,53,0,0,28,0,20,45,100,70,0,28,28,37,0,115,0,0,28,28,39,28,116
1,19,2,26,51,0,-12,38,0,10,45,50,70,10,28,38,36,0,114,-4,-12,26,38,38,26,115
