Period,Sender,Receiver,Group,OthersContribution,OthersPercentContribution,Points
1,1,11,6,20,100,0
1,1,14,6,20,100,0
1,1,16,6,9,45,-4
1,2,7,3,10,50,0
1,2,20,3,10,50,0
1,2,24,3,20,100,0
1,3,12,4,5,25,0
1,3,17,4,2,10,-5
1,3,21,4,5,25,0
1,4,15,5,5,25,-4
1,4,22,5,3,15,-4
1,4,23,5,20,100,0
1,5,6,1,5,25,0
1,5,8,1,17,85,0
1,5,13,1,8,40,0
1,6,5,1,7,35,0
1,6,8,1,17,85,0
1,6,13,1,8,40,0
1,7,2,3,4,20,-1
1,7,20,3,10,50,0
1,7,24,3,20,100,0
1,8,5,1,7,35,-1
1,8,6,1,5,25,-2
1,8,13,1,8,40,-1
1,9,10,2,20,100,0
1,9,18,2,20,100,0
1,9,19,2,10,50,-2
1,10,9,2,20,100,0
1,10,18,2,20,100,0
1,10,19,2,10,50,-2
1,11,1,6,20,100,0
1,11,14,6,20,100,0
1,11,16,6,9,45,0
1,12,3,4,15,75,0
1,12,17,4,2,10,0
1,12,21,4,5,25,0
1,13,5,1,7,35,0
1,13,6,1,5,25,0
1,13,8,1,17,85,0
1,14,1,6,20,100,0
1,14,11,6,20,100,0
1,14,16,6,9,45,0
1,15,4,5,20,100,0
1,15,22,5,3,15,0
1,15,23,5,20,100,0
1,16,1,6,20,100,0
1,16,11,6,20,100,0
1,16,14,6,20,100,0
1,17,3,4,15,75,0
1,17,12,4,5,25,0
1,17,21,4,5,25,0
1,18,9,2,20,100,0
1,18,10,2,20,100,0
1,18,19,2,10,50,0
1,19,9,2,20,100,0
1,19,10,2,20,100,0
1,19,18,2,20,100,0
1,20,2,3,4,20,-1
1,20,7,3,10,50,0
1,20,24,3,20,100,0
1,21,3,4,15,75,0
1,21,12,4,5,25,0
1,21,17,4,2,10,0
1,22,4,5,20,100,0
1,22,15,5,5,25,0
1,22,23,5,20,100,0
1,23,4,5,20,100,0
1,23,15,5,5,25,0
1,23,22,5,3,15,0
1,24,2,3,4,20,-3
1,24,7,3,10,50,-1
1,24,20,3,10,50,-1
2,1,7,6,10,50,-2
2,1,10,6,20,100,0
2,1,11,6,20,100,0
2,2,12,3,6,30,0
2,2,16,3,20,100,0
2,2,22,3,4,20,0
2,3,15,2,10,50,0
2,3,19,2,20,100,0
2,3,24,2,20,100,0
2,4,5,4,10,50,-3
2,4,6,4,10,50,-3
2,4,13,4,9,45,-2
2,5,4,4,15,75,0
2,5,6,4,10,50,0
2,5,13,4,9,45,0
2,6,4,4,15,75,0
2,6,5,4,10,50,0
2,6,13,4,9,45,0
2,7,1,6,20,100,0
2,7,10,6,20,100,0
2,7,11,6,20,100,0
2,8,9,5,20,100,0
2,8,14,5,20,100,0
2,8,23,5,0,0,-3
2,9,8,5,13,65,0
2,9,14,5,20,100,0
2,9,23,5,0,0,-3
2,10,1,6,20,100,0
2,10,7,6,10,50,-1
2,10,11,6,20,100,0
2,11,1,6,20,100,0
2,11,7,6,10,50,-2
2,11,10,6,20,100,0
2,12,2,3,7,35,0
2,12,16,3,20,100,0
2,12,22,3,4,20,0
2,13,4,4,15,75,0
2,13,5,4,10,50,0
2,13,6,4,10,50,0
2,14,8,5,13,65,0
2,14,9,5,20,100,0
2,14,23,5,0,0,0
2,15,3,2,10,50,0
2,15,19,2,20,100,0
2,15,24,2,20,100,0
2,16,2,3,7,35,0
2,16,12,3,6,30,0
2,16,22,3,4,20,-1
2,17,18,1,20,100,0
2,17,20,1,12,60,0
2,17,21,1,5,25,0
2,18,17,1,0,0,0
2,18,20,1,12,60,0
2,18,21,1,5,25,0
2,19,3,2,10,50,-2
2,19,15,2,10,50,-2
2,19,24,2,20,100,0
2,20,17,1,0,0,-2
2,20,18,1,20,100,0
2,20,21,1,5,25,0
2,21,17,1,0,0,0
2,21,18,1,20,100,0
2,21,20,1,12,60,0
2,22,2,3,7,35,0
2,22,12,3,6,30,0
2,22,16,3,20,100,0
2,23,8,5,13,65,0
2,23,9,5,20,100,0
2,23,14,5,20,100,0
2,24,3,2,10,50,-2
2,24,15,2,10,50,-2
2,24,19,2,20,100,0
3,1,3,1,20,100,0
3,1,15,1,10,50,-2
3,1,16,1,17,85,0
3,2,12,6,7,35,0
3,2,20,6,14,70,0
3,2,24,6,20,100,0
3,3,1,1,20,100,0
3,3,15,1,10,50,-3
3,3,16,1,17,85,0
3,4,6,5,10,50,0
3,4,11,5,20,100,0
3,4,14,5,20,100,0
3,5,18,4,20,100,0
3,5,19,4,20,100,0
3,5,23,4,13,65,0
3,6,4,5,15,75,0
3,6,11,5,20,100,0
3,6,14,5,20,100,0
