Period,Subject,Group,Profit,TotalProfit,Participate,Total_Deduct,Total_First_Income,Total_Cost,contribution,percentContribution,sumContribution,n,Profit1Own,Profit1Group,Profit1,Cost,ReceivedPoints,Reduction,Profit2
1,1,4,16,41,0,0,17,1,11,55,20,4,9,8,17,1,0,0,16
1,2,2,25.2,50.2,0,0,27.2,2,10,50,43,4,10,17.2,27.2,2,0,0,25.2
1,3,5,26,51,0,-12,38,0,10,50,70,4,10,28,38,0,-4,-12,26
1,4,1,20.4,45.4,0,0,23.4,3,17,85,51,4,3,20.4,23.4,3,0,0,20.4
1,5,3,32,57,0,0,32,0,20,100,80,4,0,32,32,0,0,0,32
1,6,1,18.4,43.4,0,0,20.4,2,20,100,51,4,0,20.4,20.4,2,0,0,18.4
1,7,5,27,52,0,0,28,1,20,100,70,4,0,28,28,1,0,0,27
1,8,2,27.2,52.2,0,0,27.2,0,10,50,43,4,10,17.2,27.2,0,0,0,27.2
1,9,4,21,46,0,0,21,0,7,35,20,4,13,8,21,0,0,0,21
1,10,1,28.4,53.4,0,-3,31.4,0,9,45,51,4,11,20.4,31.4,0,-1,-3,28.4
1,11,2,19.2,44.2,0,0,19.2,0,18,90,43,4,2,17.2,19.2,0,0,0,19.2
1,12,3,32,57,0,0,32,0,20,100,80,4,0,32,32,0,0,0,32
1,13,2,26.2,51.2,0,-6,32.2,0,5,25,43,4,15,17.2,32.2,0,-2,-6,26.2
1,14,3,32,57,0,0,32,0,20,100,80,4,0,32,32,0,0,0,32
1,15,3,32,57,0,0,32,0,20,100,80,4,0,32,32,0,0,0,32
1,16,1,23.4,48.4,0,-12,35.4,0,5,25,51,4,15,20.4,35.4,0,-4,-12,23.4
1,17,5,26,51,0,0,28,2,20,100,70,4,0,28,28,2,0,0,26
1,18,4,25,50,0,-3,28,0,0,0,20,4,20,8,28,0,-1,-3,25
1,19,4,26,51,0,0,26,0,2,10,20,4,18,8,26,0,0,0,26
1,20,5,27,52,0,0,28,1,20,100,70,4,0,28,28,1,0,0,27
