Period,Subject,Group,Profit,TotalProfit,Participate,Total_Deduct,Total_First_Income,Total_Cost,contribution,percentContribution,sumContribution,n,Profit1Own,Profit1Group,Profit1,Cost,ReceivedPoints,Reduction,Profit2,Temp_Profit,Punish10,Punish10u,Punish10d,TotalProfitEnd,Punish20,Punish20u,Punish20d
1,1,6,18.4,43.4,0,-3,21.4,0,15,75,41,4,5,16.4,21.4,0,-1,-3,18.4,21.4,-,-,-,18.4,-,-,-
1,2,3,12,37,0,0,22,10,10,50,30,4,10,12,22,10,0,0,12,12,-,-,-,12,-,-,-
1,3,4,27.4,52.4,0,-9,36.4,0,6,30,56,4,14,22.4,36.4,0,-3,-9,27.4,36.4,-,-,-,27.4,-,-,-
1,4,5,20.2,45.2,0,0,23.2,3,10,50,33,4,10,13.2,23.2,3,0,0,20.2,20.2,-,-,-,20.2,-,-,-
1,5,1,31.4,56.4,0,-3,34.4,0,2,10,41,4,18,16.4,34.4,0,-1,-3,31.4,34.4,-,-,-,31.4,-,-,-
1,6,1,32.4,57.4,0,0,32.4,0,4,20,41,4,16,16.4,32.4,0,0,0,32.4,32.4,-,-,-,32.4,-,-,-
1,7,3,-13,12,0,-45,32,0,0,0,30,4,20,12,32,0,-15,-45,-13,32,-,-,-,0,-,-,-
1,8,1,16.4,41.4,0,0,16.4,0,20,100,41,4,0,16.4,16.4,0,0,0,16.4,16.4,-,-,-,16.4,-,-,-
1,9,2,10.6,35.6,0,0,21.6,11,20,100,54,4,0,21.6,21.6,11,0,0,10.6,10.6,-,-,-,10.6,-,-,-
1,10,2,15.6,40.6,0,-9,28.6,4,13,65,54,4,7,21.6,28.6,4,-3,-9,15.6,24.6,-,-,-,15.6,-,-,-
1,11,6,14.4,39.4,0,-15,32.4,3,4,20,41,4,16,16.4,32.4,3,-5,-15,14.4,29.4,-,-,-,14.4,-,-,-
1,12,4,22.4,47.4,0,0,22.4,0,20,100,56,4,0,22.4,22.4,0,0,0,22.4,22.4,-,-,-,22.4,-,-,-
1,13,1,20.4,45.4,0,0,21.4,1,15,75,41,4,5,16.4,21.4,1,0,0,20.4,20.4,-,-,-,20.4,-,-,-
1,14,6,5.4,30.4,0,-3,18.4,10,18,90,41,4,2,16.4,18.4,10,-1,-3,5.4,8.4,-,-,-,5.4,-,-,-
1,15,5,25.2,50.2,0,0,25.2,0,8,40,33,4,12,13.2,25.2,0,0,0,25.2,25.2,-,-,-,25.2,-,-,-
1,16,6,14.4,39.4,0,-18,32.4,0,4,20,41,4,16,16.4,32.4,0,-6,-18,14.4,32.4,-,-,-,14.4,-,-,-
1,17,4,26.4,51.4,0,0,27.4,1,15,75,56,4,5,22.4,27.4,1,0,0,26.4,26.4,-,-,-,26.4,-,-,-
1,18,2,22.6,47.6,0,-3,26.6,1,15,75,54,4,5,21.6,26.6,1,-1,-3,22.6,25.6,-,-,-,22.6,-,-,-
1,19,2,-0.4,24.6,0,-36,35.6,0,6,30,54,4,14,21.6,35.6,0,-12,-36,-0.4,35.6,-,-,-,0,-,-,-
1,20,3,20,45,0,0,22,2,10,50,30,4,10,12,22,2,0,0,20,20,-,-,-,20,-,-,-
1,21,4,25.4,50.4,0,0,27.4,2,15,75,56,4,5,22.4,27.4,2,0,0,25.4,25.4,-,-,-,25.4,-,-,-
1,22,5,15.2,40.2,0,0,18.2,3,15,75,33,4,5,13.2,18.2,3,0,0,15.2,15.2,-,-,-,15.2,-,-,-
1,23,5,15.2,40.2,0,-18,33.2,0,0,0,33,4,20,13.2,33.2,0,-6,-18,15.2,33.2,-,-,-,15.2,-,-,-
1,24,3,19,44,0,0,22,3,10,50,30,4,10,12,22,3,0,0,19,19,-,-,-,19,-,-,-
2,1,6,12.2,55.6,0,-6,36.6,0,20,100,38,4,0,15.2,15.2,0,-1,-3,12.2,15.2,-,-,-,30.6,-,-,-
2,2,3,27.2,64.2,0,0,49.2,10,8,40,38,4,12,15.2,27.2,0,0,0,27.2,27.2,-,-,-,39.2,-,-,-
2,3,2,25.2,77.6,0,-9,61.6,0,8,40,33,4,12,13.2,25.2,0,0,0,25.2,25.2,-,-,-,52.6,-,-,-
2,4,4,20.4,65.6,0,0,45.6,5,10,50,31,4,10,12.4,22.4,2,0,0,20.4,20.4,-,-,-,40.6,-,-,-
2,5,4,27.4,83.8,0,-6,64.8,0,2,10,31,4,18,12.4,30.4,0,-1,-3,27.4,30.4,-,-,-,58.8,-,-,-
2,6,4,25.4,82.8,0,-3,60.8,0,4,20,31,4,16,12.4,28.4,0,-1,-3,25.4,28.4,-,-,-,57.8,-,-,-
2,7,6,20.2,32.2,0,-60,67.2,0,0,0,38,4,20,15.2,35.2,0,-5,-15,20.2,35.2,-,-,-,7.2,-,-,-
2,8,5,22,63.4,0,0,38.4,0,20,100,55,4,0,22,22,0,0,0,22,22,-,-,-,38.4,-,-,-
2,9,5,11,46.6,0,0,43.6,22,20,100,55,4,0,22,22,11,0,0,11,11,-,-,-,21.6,-,-,-
2,10,6,12.2,52.8,0,-12,50.8,11,13,65,38,4,7,15.2,22.2,7,-1,-3,12.2,15.2,-,-,-,27.8,-,-,-
2,11,6,22.2,61.6,0,-21,62.6,5,5,25,38,4,15,15.2,30.2,2,-2,-6,22.2,28.2,-,-,-,36.6,-,-,-
2,12,3,24.2,71.6,0,0,46.6,0,11,55,38,4,9,15.2,24.2,0,0,0,24.2,24.2,-,-,-,46.6,-,-,-
2,13,4,17.4,62.8,0,0,38.8,1,15,75,31,4,5,12.4,17.4,0,0,0,17.4,17.4,-,-,-,37.8,-,-,-
2,14,5,18,48.4,0,-6,45.4,16,15,75,55,4,5,22,27,6,-1,-3,18,21,-,-,-,23.4,-,-,-
2,15,2,23.2,73.4,0,0,48.4,0,10,50,33,4,10,13.2,23.2,0,0,0,23.2,23.2,-,-,-,48.4,-,-,-
2,16,3,30.2,69.6,0,-18,62.6,0,5,25,38,4,15,15.2,30.2,0,0,0,30.2,30.2,-,-,-,44.6,-,-,-
2,17,1,28.4,79.8,0,0,56.8,2,15,75,61,4,5,24.4,29.4,1,0,0,28.4,28.4,-,-,-,54.8,-,-,-
2,18,1,28.4,76,0,-3,55,1,16,80,61,4,4,24.4,28.4,0,0,0,28.4,28.4,-,-,-,51,-,-,-
2,19,2,24.2,48.8,0,-39,62.8,0,6,30,33,4,14,13.2,27.2,0,-1,-3,24.2,27.2,-,-,-,23.8,-,-,-
2,20,1,28.4,73.4,0,-6,56.4,2,10,50,61,4,10,24.4,34.4,0,-2,-6,28.4,34.4,-,-,-,48.4,-,-,-
2,21,1,23.4,73.8,0,0,51.8,3,20,100,61,4,0,24.4,24.4,1,0,0,23.4,23.4,-,-,-,48.8,-,-,-
2,22,3,21.2,61.4,0,0,39.4,3,14,70,38,4,6,15.2,21.2,0,0,0,21.2,21.2,-,-,-,36.4,-,-,-
2,23,5,-6,34.2,0,-66,75.2,0,0,0,55,4,20,22,42,0,-16,-48,-6,42,-,-,-,9.2,-,-,-
2,24,2,23.2,67.2,0,0,46.2,4,9,45,33,4,11,13.2,24.2,1,0,0,23.2,23.2,-,-,-,42.2,-,-,-
3,1,1,18.4,74,0,-6,55,0,18,90,41,4,2,16.4,18.4,0,0,0,18.4,18.4,-,-,-,49,-,-,-
3,2,6,25,89.2,0,0,74.2,10,9,45,35,4,11,14,25,0,0,0,25,25,-,-,-,64.2,-,-,-
3,3,1,28.4,106,0,-9,90,0,8,40,41,4,12,16.4,28.4,0,0,0,28.4,28.4,-,-,-,81,-,-,-
3,4,5,11.8,77.4,0,-9,70.4,9,10,50,37,4,10,14.8,24.8,4,-3,-9,11.8,20.8,-,-,-,52.4,-,-,-
3,5,4,21.6,105.4,0,-12,92.4,0,4,20,29,4,16,11.6,27.6,0,-2,-6,21.6,27.6,-,-,-,80.4,-,-,-
3,6,5,6.8,89.6,0,-27,91.6,0,4,20,37,4,16,14.8,30.8,0,-8,-24,6.8,30.8,-,-,-,64.6,-,-,-
3,7,3,-0.2,32,0,-99,106,0,0,0,47,4,20,18.8,38.8,0,-13,-39,-0.2,38.8,-,-,-,7,-,-,-
3,8,2,25.2,88.6,0,0,63.6,0,20,100,63,4,0,25.2,25.2,0,0,0,25.2,25.2,-,-,-,63.6,-,-,-
3,9,3,8.8,55.4,0,0,62.4,32,20,100,47,4,0,18.8,18.8,10,0,0,8.8,8.8,-,-,-,30.4,-,-,-
3,10,2,32.2,85,0,-12,83,11,13,65,63,4,7,25.2,32.2,0,0,0,32.2,32.2,-,-,-,60,-,-,-
3,11,5,7.8,69.4,0,-42,94.4,8,3,15,37,4,17,14.8,31.8,3,-7,-21,7.8,28.8,-,-,-,44.4,-,-,-
3,12,6,22,93.6,0,-6,74.6,0,6,30,35,4,14,14,28,0,-2,-6,22,28,-,-,-,68.6,-,-,-
3,13,3,20.8,83.6,0,0,62.6,4,15,75,47,4,5,18.8,23.8,3,0,0,20.8,20.8,-,-,-,58.6,-,-,-
3,14,5,-0.2,48.2,0,-9,60.2,28,20,100,37,4,0,14.8,14.8,12,-1,-3,-0.2,2.8,-,-,-,23.2,-,-,-
3,15,1,24.4,97.8,0,0,75.8,3,9,45,41,4,11,16.4,27.4,3,0,0,24.4,24.4,-,-,-,72.8,-,-,-
3,16,1,21.4,91,0,-27,93,0,6,30,41,4,14,16.4,30.4,0,-3,-9,21.4,30.4,-,-,-,66,-,-,-
3,17,2,30.2,110,0,0,87,2,15,75,63,4,5,25.2,30.2,0,0,0,30.2,30.2,-,-,-,85,-,-,-
3,18,4,7.6,83.6,0,-3,68.6,7,18,90,29,4,2,11.6,13.6,6,0,0,7.6,7.6,-,-,-,58.6,-,-,-
3,19,4,20.6,69.4,0,-42,87.4,1,7,35,29,4,13,11.6,24.6,1,-1,-3,20.6,23.6,-,-,-,44.4,-,-,-
