Period,Sender,Receiver,Group,OthersContribution,Points
1,1,2,5,7,0
1,1,20,5,5,0
1,1,23,5,10,0
1,2,1,5,10,0
1,2,20,5,5,0
1,2,23,5,10,0
1,3,4,1,2,0
1,3,6,1,20,0
1,3,24,1,0,0
1,4,3,1,3,0
1,4,6,1,20,0
1,4,24,1,0,0
1,5,15,4,20,0
1,5,16,4,10,0
1,5,22,4,2,0
1,6,3,1,3,-3
1,6,4,1,2,-3
1,6,24,1,0,-4
1,7,10,2,6,0
1,7,11,2,3,0
1,7,14,2,10,0
1,8,12,3,15,0
1,8,17,3,20,0
1,8,18,3,4,0
1,9,13,6,20,0
1,9,19,6,15,0
1,9,21,6,0,0
1,10,7,2,20,0
1,10,11,2,3,0
1,10,14,2,10,0
1,11,7,2,20,0
1,11,10,2,6,0
1,11,14,2,10,0
1,12,8,3,4,-1
1,12,17,3,20,0
1,12,18,3,4,-1
1,13,9,6,5,-2
1,13,19,6,15,-1
1,13,21,6,0,-3
1,14,7,2,20,0
1,14,10,2,6,0
1,14,11,2,3,0
1,15,5,4,5,0
1,15,16,4,10,0
1,15,22,4,2,0
1,16,5,4,5,0
1,16,15,4,20,0
1,16,22,4,2,0
1,17,8,3,4,0
1,17,12,3,15,0
1,17,18,3,4,0
1,18,8,3,4,0
1,18,12,3,15,0
1,18,17,3,20,0
1,19,9,6,5,0
1,19,13,6,20,0
1,19,21,6,0,0
1,20,1,5,10,0
1,20,2,5,7,0
1,20,23,5,10,0
1,21,9,6,5,0
1,21,13,6,20,0
1,21,19,6,15,0
1,22,5,4,5,0
1,22,15,4,20,0
1,22,16,4,10,0
1,23,1,5,10,0
1,23,2,5,7,-3
1,23,20,5,5,-5
1,24,3,1,3,0
1,24,4,1,2,0
1,24,6,1,20,0
2,1,10,1,7,0
2,1,19,1,20,0
2,1,20,1,8,0
2,2,4,3,2,0
2,2,11,3,2,0
2,2,21,3,0,0
2,3,6,2,10,0
2,3,7,2,20,0
2,3,23,2,7,0
2,4,2,3,8,0
2,4,11,3,2,0
2,4,21,3,0,0
2,5,13,6,20,0
2,5,14,6,10,0
2,5,15,6,10,0
2,6,3,2,5,-1
2,6,7,2,20,0
2,6,23,2,7,-3
2,7,3,2,5,0
2,7,6,2,10,0
2,7,23,2,7,0
2,8,16,5,6,0
2,8,18,5,4,0
2,8,24,5,10,0
2,9,12,4,20,0
2,9,17,4,20,0
2,9,22,4,5,0
2,10,1,1,15,0
2,10,19,1,20,0
2,10,20,1,8,0
2,11,2,3,8,0
2,11,4,3,2,0
2,11,21,3,0,0
2,12,9,4,5,-1
2,12,17,4,20,0
2,12,22,4,5,-1
2,13,5,6,8,-3
2,13,14,6,10,-2
2,13,15,6,10,-2
2,14,5,6,8,0
2,14,13,6,20,0
2,14,15,6,10,0
2,15,5,6,8,0
2,15,13,6,20,0
2,15,14,6,10,0
2,16,8,5,4,0
2,16,18,5,4,0
2,16,24,5,10,0
2,17,9,4,5,0
2,17,12,4,20,0
2,17,22,4,5,0
2,18,8,5,4,0
2,18,16,5,6,0
2,18,24,5,10,0
2,19,1,1,15,0
2,19,10,1,7,0
2,19,20,1,8,0
2,20,1,1,15,0
2,20,10,1,7,0
2,20,19,1,20,0
2,21,2,3,8,0
2,21,4,3,2,0
2,21,11,3,2,0
2,22,9,4,5,0
2,22,12,4,20,0
2,22,17,4,20,0
2,23,3,2,5,0
2,23,6,2,10,0
2,23,7,2,20,0
2,24,8,5,4,0
2,24,16,5,6,0
2,24,18,5,4,0
3,1,8,3,4,-2
3,1,17,3,20,0
3,1,24,3,20,0
3,2,6,1,10,0
3,2,10,1,8,0
3,2,16,1,10,0
3,3,4,4,0,0
3,3,12,4,20,0
3,3,15,4,20,0
3,4,3,4,7,0
3,4,12,4,20,0
3,4,15,4,20,0
3,5,9,2,5,0
3,5,13,2,20,0
3,5,18,2,4,0
3,6,2,1,6,-3
3,6,10,1,8,-3
3,6,16,1,10,-2
