Period,Subject,Group,Profit,TotalProfit,contribution,TimeOKStage1OK,sumContribution,Profit1Own,Profit1Group,Profit1,Cost,ReceivedPoints,Reduction,Profit2
1,1,4,0,25,20,45,35,0,14,14,0,-7,-21,0
1,2,2,17,42,15,25,40,5,16,21,4,0,0,17
1,3,5,0,25,1,40,20,19,8,27,0,-13,-39,0
1,4,1,25.4,50.4,5,33,26,15,10.4,25.4,0,0,0,25.4
1,5,3,20.4,45.4,20,36,56,0,22.4,22.4,2,0,0,20.4
1,6,1,25.4,50.4,5,30,26,15,10.4,25.4,0,0,0,25.4
1,7,5,2,27,5,29,20,15,8,23,18,-1,-3,2
1,8,2,23,48,10,9,40,10,16,26,0,-1,-3,23
1,9,4,14,39,10,40,35,10,14,24,10,0,0,14
1,10,1,29.4,54.4,1,34,26,19,10.4,29.4,0,0,0,29.4
1,11,2,22,47,5,47,40,15,16,31,0,-3,-9,22
1,12,3,22.4,47.4,20,44,56,0,22.4,22.4,0,0,0,22.4
1,13,2,26,51,10,40,40,10,16,26,0,0,0,26
1,14,3,29.4,54.4,10,36,56,10,22.4,32.4,0,-1,-3,29.4
1,15,3,33.4,58.4,6,39,56,14,22.4,36.4,0,-1,-3,33.4
1,16,1,15.4,40.4,15,39,26,5,10.4,15.4,0,0,0,15.4
1,17,5,-2,23,12,44,20,8,8,16,3,-5,-15,-2
1,18,4,34,59,0,43,35,20,14,34,0,0,0,34
1,19,4,20,45,5,36,35,15,14,29,0,-3,-9,20
1,20,5,12,37,2,34,20,18,8,26,2,-4,-12,12
2,1,5,11.6,36.6,20,28,29,0,11.6,11.6,0,0,0,11.6
2,2,2,14.8,56.8,16,18,42,4,16.8,20.8,0,-2,-6,14.8
2,3,2,30.8,55.8,1,11,42,19,16.8,35.8,5,0,0,30.8
2,4,4,27.8,78.2,7,-1,47,13,18.8,31.8,4,0,0,27.8
2,5,3,16,61.4,20,28,40,0,16,16,0,0,0,16
2,6,1,13,63.4,5,-24,40,15,16,31,0,-6,-18,13
2,7,1,12,39,19,27,40,1,16,17,5,0,0,12
2,8,2,21.8,69.8,15,11,42,5,16.8,21.8,0,0,0,21.8
2,9,3,29,68,4,27,40,16,16,32,0,-1,-3,29
2,10,3,29,83.4,1,19,40,19,16,35,0,-2,-6,29
2,11,5,25.6,72.6,6,22,29,14,11.6,25.6,0,0,0,25.6
2,12,4,12.8,60.2,20,26,47,0,18.8,18.8,0,-2,-6,12.8
2,13,2,17.8,68.8,10,27,42,10,16.8,26.8,0,-3,-9,17.8
2,14,3,18,72.4,15,16,40,5,16,21,3,0,0,18
2,15,4,25.8,84.2,10,24,47,10,18.8,28.8,0,-1,-3,25.8
2,16,1,24,64.4,12,23,40,8,16,24,0,0,0,24
2,17,5,26.6,49.6,3,26,29,17,11.6,28.6,2,0,0,26.6
2,18,5,25.6,84.6,0,25,29,20,11.6,31.6,0,-2,-6,25.6
2,19,4,25.8,70.8,10,10,47,10,18.8,28.8,0,-1,-3,25.8
2,20,1,23,60,4,-4,40,16,16,32,3,-2,-6,23
3,1,4,17,53.6,20,28,50,0,20,20,0,-1,-3,17
3,2,3,18.2,75,13,-1,28,7,11.2,18.2,0,0,0,18.2
3,3,4,35,90.8,0,13,50,20,20,40,2,-1,-3,35
3,4,1,32,110.2,10,13,60,10,24,34,2,0,0,32
3,5,2,14.6,76,1,24,19,19,7.6,26.6,0,-4,-12,14.6
3,6,2,19.6,83,5,20,19,15,7.6,22.6,0,-1,-3,19.6
3,7,1,28,67,10,28,60,10,24,34,0,-2,-6,28
3,8,4,22,91.8,15,22,50,5,20,25,0,-1,-3,22
3,9,5,8.8,76.8,7,26,27,13,10.8,23.8,15,0,0,8.8
3,10,3,30.2,113.6,1,12,28,19,11.2,30.2,0,0,0,30.2
3,11,5,10.8,83.4,5,26,27,15,10.8,25.8,0,-5,-15,10.8
3,12,1,24,84.2,20,27,60,0,24,24,0,0,0,24
3,13,5,5.8,74.6,10,-6,27,10,10.8,20.8,0,-5,-15,5.8
3,14,4,24,96.4,15,22,50,5,20,25,1,0,0,24
3,15,2,15.6,99.8,8,22,19,12,7.6,19.6,4,0,0,15.6
3,16,3,17.2,81.6,14,29,28,6,11.2,17.2,0,0,0,17.2
3,17,5,10.8,60.4,5,28,27,15,10.8,25.8,0,-5,-15,10.8
3,18,3,31.2,115.8,0,26,28,20,11.2,31.2,0,0,0,31.2
3,19,1,24,94.8,20,21,60,0,24,24,0,0,0,24
3,20,2,17.6,77.6,5,13,19,15,7.6,22.6,2,-1,-3,17.6
4,1,1,16.2,69.8,20,28,48,0,19.2,19.2,0,-1,-3,16.2
4,2,4,25,100,15,21,50,5,20,25,0,0,0,25
4,3,3,26.6,117.4,0,0,29,20,11.6,31.6,2,-1,-3,26.6
4,4,3,18.6,128.8,10,18,29,10,11.6,21.6,0,-1,-3,18.6
4,5,5,12.2,88.2,15,22,28,5,11.2,16.2,4,0,0,12.2
4,6,1,37.2,120.2,2,16,48,18,19.2,37.2,0,0,0,37.2
4,7,2,9.6,76.6,14,19,39,6,15.6,21.6,12,0,0,9.6
4,8,5,25.2,117,0,26,28,20,11.2,31.2,0,-2,-6,25.2
4,9,1,16.2,93,20,26,48,0,19.2,19.2,0,-1,-3,16.2
4,10,5,24.2,137.8,1,17,28,19,11.2,30.2,0,-2,-6,24.2
4,11,1,31.2,114.6,6,24,48,14,19.2,33.2,2,0,0,31.2
4,12,4,20,104.2,20,26,50,0,20,20,0,0,0,20
4,13,4,30,104.6,10,24,50,10,20,30,0,0,0,30
4,14,3,12.6,109,15,27,29,5,11.6,16.6,1,-1,-3,12.6
4,15,4,35,134.8,5,22,50,15,20,35,0,0,0,35
4,16,5,19.2,100.8,12,24,28,8,11.2,19.2,0,0,0,19.2
4,17,2,18.6,79,8,28,39,12,15.6,27.6,3,-2,-6,18.6
4,18,2,0,115.8,0,28,39,20,15.6,35.6,0,-13,-39,0
4,19,2,18.6,113.4,17,17,39,3,15.6,18.6,0,0,0,18.6
4,20,3,27.6,105.2,4,18,29,16,11.6,27.6,0,0,0,27.6
5,1,2,26,95.8,20,27,65,0,26,26,0,0,0,26
5,2,2,31,131,15,26,65,5,26,31,0,0,0,31
5,3,3,23.6,141,5,27,29,15,11.6,26.6,0,-1,-3,23.6
5,4,4,20.8,149.6,9,19,32,11,12.8,23.8,3,0,0,20.8
5,5,2,33,121.2,10,12,65,10,26,36,0,-1,-3,33
5,6,1,30.8,151,2,20,32,18,12.8,30.8,0,0,0,30.8
5,7,2,25,101.6,20,26,65,0,26,26,1,0,0,25
5,8,3,13.6,130.6,0,24,29,20,11.6,31.6,0,-6,-18,13.6
5,9,1,12.8,105.8,20,28,32,0,12.8,12.8,0,0,0,12.8
5,10,4,21.8,159.6,2,27,32,18,12.8,30.8,0,-3,-9,21.8
5,11,4,23.8,138.4,6,27,32,14,12.8,26.8,0,-1,-3,23.8
5,12,1,32.8,137,0,29,32,20,12.8,32.8,0,0,0,32.8
5,13,1,22.8,127.4,10,28,32,10,12.8,22.8,0,0,0,22.8
5,14,4,16.8,125.8,15,21,32,5,12.8,17.8,1,0,0,16.8
5,15,5,11.8,146.6,12,19,27,8,10.8,18.8,7,0,0,11.8
5,16,5,19.8,120.6,11,27,27,9,10.8,19.8,0,0,0,19.8
5,17,3,13.6,92.6,14,28,29,6,11.6,17.6,4,0,0,13.6
5,18,5,6.8,122.6,0,28,27,20,10.8,30.8,0,-8,-24,6.8
5,19,3,18.6,132,10,24,29,10,11.6,21.6,3,0,0,18.6
5,20,5,17.8,123,4,23,27,16,10.8,26.8,3,-2,-6,17.8
6,1,5,15.2,111,20,28,38,0,15.2,15.2,0,0,0,15.2
6,2,1,16,147,20,27,40,0,16,16,0,0,0,16
6,3,2,22.8,163.8,0,17,7,20,2.8,22.8,0,0,0,22.8
6,4,3,23.8,173.4,8,24,32,12,12.8,24.8,1,0,0,23.8
6,5,4,20,141.2,10,3,30,10,12,22,2,0,0,20
6,6,3,16.8,167.8,1,17,32,19,12.8,31.8,0,-5,-15,16.8
6,7,3,18.8,120.4,13,16,32,7,12.8,19.8,1,0,0,18.8
6,8,2,22.8,153.4,0,25,7,20,2.8,22.8,0,0,0,22.8
6,9,1,24,129.8,0,18,40,20,16,36,0,-4,-12,24
6,10,2,21.8,181.4,1,26,7,19,2.8,21.8,0,0,0,21.8
6,11,2,16.8,155.2,6,26,7,14,2.8,16.8,0,0,0,16.8
6,12,1,26,163,10,26,40,10,16,26,0,0,0,26
6,13,5,21.2,148.6,10,27,38,10,15.2,25.2,4,0,0,21.2
6,14,4,21,146.8,10,26,30,10,12,22,1,0,0,21
6,15,5,27.2,173.8,8,25,38,12,15.2,27.2,0,0,0,27.2
6,16,3,19.8,140.4,10,21,32,10,12.8,22.8,3,0,0,19.8
6,17,1,22,114.6,10,20,40,10,16,26,4,0,0,22
